"Name","CPU","WorkingSet"
"svchost",,"15904768"
"svchost","2,421875","37371904"
"svchost",,"13422592"
"svchost",,"7991296"
"svchost",,"12328960"
"svchost",,"10260480"
"svchost",,"10256384"
"svchost",,"16429056"
"svchost",,"24670208"
"svchost",,"15331328"
"svchost",,"9334784"
"svchost",,"47673344"
"svchost",,"55062528"
"svchost",,"14139392"
"svchost",,"7933952"
"svchost",,"6451200"
"svchost",,"20246528"
"svchost",,"15118336"
"svchost",,"23830528"
"svchost",,"9781248"
"svchost",,"38076416"
"svchost",,"9830400"
"svchost",,"13631488"
"svchost",,"10592256"
"svchost",,"24403968"
"svchost",,"17043456"
"svchost",,"12083200"
"svchost",,"12918784"
"svchost",,"8339456"
"svchost",,"12853248"
"svchost",,"21594112"
"svchost","0,140625","9687040"
"svchost","1,0625","35278848"
"svchost","0","9687040"
"svchost","0,203125","26157056"
"svchost","0,03125","15147008"
"svchost",,"9740288"
"svchost",,"8110080"
"svchost",,"11075584"
"svchost","0,03125","13705216"
"svchost","0,109375","20631552"
"svchost",,"12783616"
"svchost",,"14573568"
"svchost",,"17612800"
"svchost",,"12955648"
"SysInfoCap",,"241135616"
"System",,"6561792"
"SystemSettings","0,171875","2932736"
"taskhostw","0,359375","24371200"
"TbtP2pShortcutService",,"6606848"
"TextInputHost","1,484375","80076800"
"ThunderboltService",,"19341312"
"TouchpointAnalyticsClientService",,"78589952"
"uhssvc",,"17727488"
"unsecapp",,"7569408"
"Video.UI","0,09375","13447168"
"vmcompute",,"11694080"
"vmms",,"37253120"
"vmnat",,"8994816"
"vmnetdhcp",,"12529664"
"vmware-authd",,"14004224"
"vmware-usbarbitrator64",,"12595200"
"WebDrive","0,21875","188702720"
"WebDrive","0,1875","38199296"
"WebDrive","0,71875","119451648"
"WebDrive","4,390625","121458688"
"WebDrive","38,53125","78123008"
"WebDriveCLI","0,953125","69111808"
"WidgetBoard","0,703125","108191744"
"WidgetService","0,484375","25276416"
"WindowsPackageManagerServer","0,6875","31154176"
"wininit",,"7204864"
"winlogon",,"14569472"
"WINWORD","17,875","328474624"
"wlanext",,"7823360"
"WmiPrvSE",,"20045824"
"WmiPrvSE",,"48926720"
"WMIRegistrationService",,"16793600"
"wslservice",,"21889024"
"WUDFHost",,"22831104"
"WUDFHost",,"11845632"
"WUDFHost",,"9895936"
"XtuService",,"107491328"
